,livre,lien
1,"Manuel Agripreneur : Encourager et accompagner les jeunes des régions rurales à entreprendre dans le secteur agricole, agroalimentaire et services liés avec un focus sur les TICs.",http://www.onagri.nat.tn/uploads/Etudes/MANUEl-Agripreneur-WEB.PDF
2,THE AFRICAN CONTINENTAL FREE TRADE AREA:Economic and Distributional Effects,https://openknowledge.worldbank.org/bitstream/handle/10986/34139/9781464815591.pdf
3,OECD‑FAO Agricultural Outlook 2020‑2029 (Covid-19),https://www.oecd-ilibrary.org/docserver/1112c23b-en.pdf?expires=1594896433&id=id&accname=guest&checksum=965AE20BD4F846B072A3831A7CDCE102
4,"Impact des répercussions de la crise de Covid 19 sur la production, la commercialisation, les échanges extérieurs et l’investissement agricoles en Tunisie",http://www.onagri.nat.tn/uploads/lettre/lettre2-2020.pdf
5,"ECOLOGIE, CULTURE ET UTILISATIONS DU FIGUIER DE BARBARIE",http://www.fao.org/3/I7628FR/i7628fr.pdf
6,Code de conduite international sur la gestion des pesticides : Directives sur les pesticides extrêmement dangereux,http://www.fao.org/3/i5566fr/i5566fr.pdf
7,COMESA: 50 millions de femmes africaines parlent de la plateforme (50MAWSP) lancements nationaux prévus dans 14 États membres,https://www.comesa.int/wp-content/uploads/2020/08/e-comesa-newsletter-634.pdf
8,Site Web AGRIPRENEUR,http://www.apia.com.tn/medias/files/News/APIA-NEWS-juin2020.pdf
9,The future of food safety,http://www.fao.org/3/ca8386en/CA8386EN.pdf
10,2019 Africa Regional Overview of Food Security and Nutrition,http://www.fao.org/3/ca7343en/CA7343EN.pdf
11,The State of Food Security and Nutrition in the World 2020,http://www.fao.org/3/ca9692en/CA9692EN.pdf
12,التوجهات االستراتيجية و البرامج العملية لتنمية صادرات زيت الزيتون في أفق 2030,https://www.onagri.tn/uploads/securite-alimentaire/developpement-exportatios/ho-15-11-2019-vff.pdf
13,THE AFRICAN CONTINENTAL FREE TRADE AREA:Economic and Distributional Effects,https://openknowledge.worldbank.org/bitstream/handle/10986/34139/9781464815591.pdf
14,Dynamiques du développement en Afrique 2019 : Réussir la transformation productive,https://www.oecd-ilibrary.org/docserver/291046f7-fr.pdf?expires=1596533135&id=id&accname=guest&checksum=534C62E2E09972C2A4E3B6F5772E6E63
15,Système Hydraulique de la Tunisie à l’horizon 2030,http://www.onagri.nat.tn/uploads/Etudes/SYSTEME-HYDROLIQUE-DE-LA-TUNISIE-A-LHORIZON-2030.pdf
16,Gouvernance de l’eau en Tunisie Etude du cas du gouvernorat de Kasserine,https://www.international-alert.org/sites/default/files/Tunisia_WaterGovernanceKasserine_FR_2017.pdf
17,La gouvernance des services de l’eau en Tunisie :Surmonter les défis de la participation du secteur privé,http://www.idaea.csic.es/medspring/sites/default/files/Water-governance-in-Tunisia-fr.pdf
18,Eau et assainissement pour tous en Tunisie: Un objectif réaliste,http://documents1.worldbank.org/curated/en/569431499339206685/pdf/Water-and-Sanitation-for-All-in-Tunisia.pdf
19,La situation mondiale des pêches et de l’aquaculture 2020,http://www.fao.org/3/ca9229fr/CA9229FR.pdf
20,Un guide tripartite pour la gestion des zoonoses à travers l’approche multisectorielle «Une seule santé»,http://www.fao.org/3/ca2942fr/CA2942FR.pdf
21,RURAL MIGRATION IN TUNISIA Drivers and patterns of rural youth migration and its impact on food security and rural livelihoods in Tunisia,http://www.fao.org/3/i9193en/I9193EN.pdf
22,PLAN D’ACTION NATIONAL SUR LES MODES DE PRODUCTION ET DE CONSOMMATION DURABLES EN TUNISIE | 2016 PLAN D’ACTION DÉCENNAL AGROALIMENTAIRE 2016 – 2025,http://extwprlegs1.fao.org/docs/pdf/tun169254.pdf
23,SUPPORT TO THE REGIONAL COLLABORATION PLATFORM OF THE WATER SCARCITY INITIATIVE TO INCREASE WATER PRODUCTIVITY,http://www.fao.org/3/ca9084en/CA9084EN.pdf
24,"Guidelines for the prevention, eradication and containment of Xylella fastidiosa in olive-growing areas",http://www.fao.org/3/i5994en/I5994EN.pdf
25,La Tunisie en route vers 2030:17 Objectifs pour changer la Tunisie.,https://www.onu-tn.org/uploads/documents/15094544391.pdf
26,Assessment of the Tunisian Olive Oil Value Chain in the International Markets: Constraints and Opportunities,http://www.onagri.nat.tn/uploads/Etudes/etude-ho.pdf
27,"Value Chain Development for Jobs in Lagging Regions: Let’s Work Program in Tunisia Overview of the Approach, Impact, and Findings (P157321)",http://documents1.worldbank.org/curated/en/362371593018826719/pdf/Value-Chain-Development-for-Jobs-in-Lagging-Regions-Lets-Work-Program-in-Tunisia-Overview-of-the-Approach-Impact-and-Findings.pdf
28,"Olive Oil, Medicinal and Aromatic plants, and Tomatoes in North-West Tunisia: A Roadmap to Developing Competitive Advantage on Strategic Markets",http://documents1.worldbank.org/curated/en/784741593019888856/pdf/Olive-Oil-Medicinal-and-Aromatic-Plants-and-Tomatoes-in-North-West-Tunisia-A-Roadmap-to-Developing-Competitive-Advantage-on-Strategic-Markets.pdf
29,OECD‑FAO Agricultural Outlook 2020‑2029 (Covid-19),https://www.oecd-ilibrary.org/docserver/1112c23b-en.pdf?expires=1594896433&id=id&accname=guest&checksum=965AE20BD4F846B072A3831A7CDCE102
30,GUIDE SUR L’ALECA L’ACCORD DE LIBRE ECHANGE COMPLET ET APPROFONDI ALECA MIEUX COMPRENDRE les négociations sur l’accord,http://www.aleca.tn/wp-content/uploads/2017/10/Guide%20ALECA.pdf
31,"Impact des répercussions de la crise de Covid 19 sur la production, la commercialisation, les échanges extérieurs et l’investissement agricoles en Tunisie",http://www.onagri.nat.tn/uploads/lettre/lettre2-2020.pdf
32,ÉVALUATION DE L’APPROVISIONNEMENT ALIMENTAIRE DANS UN CONTEXTE DE PÉNURIE D’EAU DANS LA RÉGION NENA APPLICATION DE L’APPROCHE COURBE DE COÛT D’APPROVISIONNEMENT ALIMENTAIRE : CAS DE LA TUNISIE,http://www.onagri.tn/uploads/Etudes/eVALUATION-penurie.pdf
33,Eau Virtuelle et Sécurité Alimentaire en Tunisie : du Constat à l’Appui au Développement (EVSAT-CAD),https://idl-bnc-idrc.dspacedirect.org/bitstream/handle/10625/54813/IDL-54813.pdf
34,GUIDE PRINCIPALES ÉTAPES D’ACCÈS AU FONDS VERT POUR LE CLIMAT – GCF,http://www.oss-online.org/sites/default/files/OSS-ReadinessTunisieGuide-GCF.pdf
35,RAPPORT NATIONAL DU SECTEUR DE L’EAU,http://www.onagri.nat.tn/uploads/statistiques/PRINT-2019%20Secteur-eau.pdf
36,Les oasis de Tunisie à protéger contre la dégradation et les effets du changement climatique,http://www.environnement.gov.tn/PICC/wp-content/uploads/Les-oasis-de-Tunisie-%C3%A0-prot%C3%A9ger-contre-le-changement-climatique1.pdf
37,Valorisation des produits laitiers typiques de Bizerte et Béja Diagnostic et stratégie locale,http://www.animaweb.org/sites/default/files/lac_rapportdiagnostic_tunisie_fr_final.pdf
38,Analyse de vulnérabilité au changement climatique du couvert forestier La forêt de Siliana (Tunisie),http://www.fao.org/3/a-i6640f.pdf
39,ACTUALISATION DE LA STRATEGIE NATIONALE ET DU PLAN D’ACTION NATIONAUX SUR LA BIODIVERSITE : Stratégie et plan d’action nationaux pour la biodiversité 2018-2030,http://scid.tn/images/2020/SPANB_Dfinitif_Ver_28112017_ver_BE.pdf
40,Etude de l’amélioration de la Qualité et du positionnement des Plantes Aromatiques et Médicinales,http://www.apia.com.tn/medias/files/Etude-de-amelioration-Qualite-et-positionnement-des-Plantes-Aromatiques-et-Medicinales.pdf
41,La Covid-19 a lourdement impacté les circuits d’approvisionnement et de commercialisation des produits agricoles,https://onagri.home.blog/2020/07/07/la-covid-19-a-lourdement-impacte-les-circuits-dapprovisionnement-et-de-commercialisation-des-produits-agricoles-onagri/
42,Tunisie Financement du secteur agricole,http://www.fao.org/3/i3210f/i3210f.pdf
